"State_Name","Year","month","Assembly_No","DelimID","Constituency_No","Poll_No","Position","Candidate","Sex","Party","Votes","Age","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","District_Name","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Normalized_Party"
"Maharashtra",2014,10,12,4,2,0,1,"PADVI UDESING KOCHARU","M","BJP",58556,66,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,31.38,"no",719,0.39,3.85,"AEMH84211","BJP"
"Maharashtra",2014,10,12,4,2,0,2,"PADMAKAR VIJAYSING VALVI","M","INC",57837,46,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,30.99,"no",10871,5.83,3.85,"AEMH84212","INC"
"Maharashtra",2014,10,12,4,2,0,3,"GAVIT RAJENDRAKUMAR KRUSHNARAO","M","NCP",46966,54,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,25.17,"no",40321,21.61,3.85,"AEMH84213","NCP"
"Maharashtra",2014,10,12,4,2,0,4,"NAIK SURESH SUMERSING","M","SHS",6645,42,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,3.56,"yes",2235,1.2,3.85,"AEMH84214","SHS"
"Maharashtra",2014,10,12,4,2,0,5,"KISAN RUNJYA PAWAR","M","MNS",4410,59,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,2.36,"yes",1517,0.81,3.85,"AEMH84215","MNs"
"Maharashtra",2014,10,12,4,2,0,6,"MALI JAYSING DEVCHAND","M","CPM",2893,61,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,1.55,"yes",138,0.07,3.85,"AEMH84216","CPM"
"Maharashtra",2014,10,12,4,2,0,7,"None of the Above","","NOTA",2755,,"",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,1.48,"yes",1215,0.65,3.85,"","NOTA"
"Maharashtra",2014,10,12,4,2,0,8,"RAMAN BHALU NAVALE","M","IND",1540,42,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,0.83,"yes",36,0.02,3.85,"AEMH84217","IND"
"Maharashtra",2014,10,12,4,2,0,9,"BHAVARLAL BABULAL TADVI","M","IND",1504,25,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,0.81,"yes",256,0.14,3.85,"AEMH84218","IND"
"Maharashtra",2014,10,12,4,2,0,10,"AMARJIT PRATAPSING CHAVAN","M","IND",1248,34,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,0.67,"yes",3,0,3.85,"AEMH84219","IND"
"Maharashtra",2014,10,12,4,2,0,11,"PADVI SAVITRI MAGAN","F","BSP",1245,32,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,0.67,"yes",231,0.12,3.85,"AEMH84220","BSP"
"Maharashtra",2014,10,12,4,2,0,12,"VALVI CHANDRASING SURUPSING","M","BMUP",1014,48,"ST",186613,286284,"SHAHADA","ST","NANDURBAR","KHANDESH",11,65.18,0.54,"yes",0,0,3.85,"AEMH84221","BMUP"
"Maharashtra",2014,10,12,4,3,0,1,"GAVIT VIJAYKUMAR KRUSHNARAO","M","BJP",101328,58,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,52.33,"no",27118,14,2.38,"AEMH84222","BJP"
"Maharashtra",2014,10,12,4,3,0,2,"VASAVE KUNAL BATESING","M","INC",74210,30,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,38.33,"no",65612,33.88,2.38,"AEMH84223","INC"
"Maharashtra",2014,10,12,4,3,0,3,"VIRENDRA RAVJI VALVI","M","SHS",8598,41,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,4.44,"yes",5741,2.96,2.38,"AEMH84224","SHS"
"Maharashtra",2014,10,12,4,3,0,4,"None of the Above","","NOTA",2857,,"",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,1.48,"yes",902,0.47,2.38,"","NOTA"
"Maharashtra",2014,10,12,4,3,0,5,"GULABSING DIVANSING VASAVE","M","MNS",1955,60,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,1.01,"yes",171,0.09,2.38,"AEMH84225","MNs"
"Maharashtra",2014,10,12,4,3,0,6,"VALVI VIKAS DULJI","M","NCP",1784,41,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,0.92,"yes",555,0.29,2.38,"AEMH84226","NCP"
"Maharashtra",2014,10,12,4,3,0,7,"BHIL BIRBAL SAKHARAM","M","IND",1229,62,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,0.63,"yes",168,0.09,2.38,"AEMH84227","IND"
"Maharashtra",2014,10,12,4,3,0,8,"BHAVAN PAVANSING SHEWALE","M","IND",1061,37,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,0.55,"yes",450,0.23,2.38,"AEMH84228","IND"
"Maharashtra",2014,10,12,4,3,0,9,"VALVI NATWAR KELLA","M","BMUP",611,26,"ST",193633,311939,"NANDURBAR","ST","NANDURBAR","KHANDESH",8,62.07,0.32,"yes",0,0,2.38,"AEMH84229","BMUP"
"Maharashtra",2014,10,12,4,4,0,1,"NAIK SURUPSING HIRYA","M","INC",93796,76,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,47.41,"no",21817,11.03,2.86,"AEMH84230","INC"
"Maharashtra",2014,10,12,4,4,0,2,"GAVIT SHARAD KRUSHNARAO","M","NCP",71979,51,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,36.39,"no",60743,30.71,2.86,"AEMH84231","NCP"
"Maharashtra",2014,10,12,4,4,0,3,"VALVI KUVARSING FULAJI","M","BJP",11236,61,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,5.68,"yes",7140,3.61,2.86,"AEMH84232","BJP"
"Maharashtra",2014,10,12,4,4,0,4,"GAVIT JAGAN HURAJI","M","PWPI",4096,44,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,2.07,"yes",8,0,2.86,"AEMH84233","PWP"
"Maharashtra",2014,10,12,4,4,0,5,"None of the Above","","NOTA",4088,,"",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,2.07,"yes",111,0.06,2.86,"","NOTA"
"Maharashtra",2014,10,12,4,4,0,6,"JYOTSNA DILIP GAVIT","F","SHS",3977,28,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,2.01,"yes",1968,0.99,2.86,"AEMH84234","SHS"
"Maharashtra",2014,10,12,4,4,0,7,"MOTILAL CHAPDU GANGURDE","M","IND",2009,56,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,1.02,"yes",263,0.13,2.86,"AEMH84235","IND"
"Maharashtra",2014,10,12,4,4,0,8,"VASAVE AMIT SHEKLAL","M","BSP",1746,34,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.88,"yes",71,0.04,2.86,"AEMH84236","BSP"
"Maharashtra",2014,10,12,4,4,0,9,"ADV. SOBAJI DEVALYA GAVIT","M","IND",1675,61,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.85,"yes",560,0.28,2.86,"AEMH84237","IND"
"Maharashtra",2014,10,12,4,4,0,10,"VASAVE MADHAV NATHU","M","MNS",1115,58,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.56,"yes",244,0.12,2.86,"AEMH84238","MNs"
"Maharashtra",2014,10,12,4,4,0,11,"URMILA MADHUKAR VALVI","F","IND",871,40,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.44,"yes",237,0.12,2.86,"AEMH84239","IND"
"Maharashtra",2014,10,12,4,4,0,12,"ARJUNSING DIWANSING VASAVE","M","BBM",634,48,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.32,"yes",30,0.02,2.86,"AEMH84240","BBMS"
"Maharashtra",2014,10,12,4,4,0,13,"BAKARAM DASHRATH VALVI","M","LB",604,42,"ST",197826,266023,"NAWAPUR","ST","NANDURBAR","KHANDESH",12,74.36,0.31,"yes",0,0,2.86,"AEMH84241","LB"
"Maharashtra",2014,10,12,4,5,0,1,"AHIRE DHANAJI SITARAM OR D.S.AHIRE","M","INC",74760,61,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,38.95,"no",3323,1.73,3.45,"AEMH84242","INC"
"Maharashtra",2014,10,12,4,5,0,2,"GAVIT MANJULA TULSHIRAM","F","BJP",71437,50,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,37.22,"no",58605,30.53,3.45,"AEMH84243","BJP"
"Maharashtra",2014,10,12,4,5,0,3,"PAWAR CHUDAMAN DAGA","M","SHS",12832,59,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,6.69,"yes",434,0.23,3.45,"AEMH84244","SHS"
"Maharashtra",2014,10,12,4,5,0,4,"NAIKE DILIP SHASHIKUMAR","M","NCP",12398,61,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,6.46,"yes",5566,2.9,3.45,"AEMH84245","NCP"
"Maharashtra",2014,10,12,4,5,0,5,"DIPAK MANGYA JAGTAP","M","PWPI",6832,36,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,3.56,"yes",3680,1.92,3.45,"AEMH84246","PWP"
"Maharashtra",2014,10,12,4,5,0,6,"None of the Above","","NOTA",3152,,"",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,1.64,"yes",165,0.09,3.45,"","NOTA"
"Maharashtra",2014,10,12,4,5,0,7,"BHARUDE DIPAK BANDU","M","MNS",2987,28,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,1.56,"yes",1007,0.52,3.45,"AEMH84247","MNs"
"Maharashtra",2014,10,12,4,5,0,8,"CHAVHAN SUKA BUDHA","M","BBM",1980,67,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,1.03,"yes",208,0.11,3.45,"AEMH84248","BBMS"
"Maharashtra",2014,10,12,4,5,0,9,"ADV. MANUVEL J. VALAVI","M","IND",1772,38,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,0.92,"yes",444,0.23,3.45,"AEMH84249","IND"
"Maharashtra",2014,10,12,4,5,0,10,"GAWALI DURGABAI HIRU","F","IND",1328,57,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,0.69,"yes",37,0.02,3.45,"AEMH84250","IND"
"Maharashtra",2014,10,12,4,5,0,11,"BAGUL PANDIT MAHARU","M","IND",1291,37,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,0.67,"yes",117,0.06,3.45,"AEMH84251","IND"
"Maharashtra",2014,10,12,4,5,0,12,"BAHIRAM RANILAL POPAT","M","IND",1174,48,"ST",191943,307595,"SAKRI","ST","DHULE","KHANDESH",11,62.4,0.61,"yes",0,0,3.45,"AEMH84252","IND"
"Maharashtra",2014,10,12,4,6,0,1,"KUNAL (BABA) ROHIDAS PATIL","M","INC",119094,40,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,50.81,"no",46082,19.66,2.7,"AEMH84253","INC"
"Maharashtra",2014,10,12,4,6,0,2,"BHADANE MANOHAR DATTATRAY","M","BJP",73012,48,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,31.15,"no",55330,23.61,2.7,"AEMH84254","BJP"
"Maharashtra",2014,10,12,4,6,0,3,"PATIL KIRAN GULABRAO","M","NCP",17682,38,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,7.54,"yes",2589,1.1,2.7,"AEMH84255","NCP"
"Maharashtra",2014,10,12,4,6,0,4,"PROF.PATIL SHARAD MADHAVRAO","M","SHS",15093,55,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,6.44,"yes",12641,5.39,2.7,"AEMH84256","SHS"
"Maharashtra",2014,10,12,4,6,0,5,"AJAY GOVINDRAO MALI","M","MNS",2452,45,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,1.05,"yes",253,0.11,2.7,"AEMH84257","MNs"
"Maharashtra",2014,10,12,4,6,0,6,"CHAVHAN RAJ JAGANNATH","M","BSP",2199,46,"SC",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.94,"yes",523,0.22,2.7,"AEMH84258","BSP"
"Maharashtra",2014,10,12,4,6,0,7,"None of the Above","","NOTA",1676,,"",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.72,"yes",473,0.2,2.7,"","NOTA"
"Maharashtra",2014,10,12,4,6,0,8,"ARUN KRISHNARAO PATIL","M","STBP",1203,57,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.51,"yes",314,0.13,2.7,"AEMH84259","STBP"
"Maharashtra",2014,10,12,4,6,0,9,"MALI DINKAR SADASHIV","M","IND",889,40,"GEN",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.38,"yes",286,0.12,2.7,"AEMH84260","IND"
"Maharashtra",2014,10,12,4,6,0,10,"AMBAR MAHADU MALICH","M","IND",603,35,"ST",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.26,"yes",137,0.06,2.7,"AEMH84261","IND"
"Maharashtra",2014,10,12,4,6,0,11,"RAJDEEP BHATU AGALE","M","BMUP",466,40,"SC",234369,350839,"DHULE RURAL","GEN","DHULE","KHANDESH",10,66.8,0.2,"yes",0,0,2.7,"AEMH84262","BMUP"
"Maharashtra",2014,10,12,4,7,0,1,"ANIL ANNA GOTE","M","BJP",57780,66,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,37.14,"no",12928,8.31,3.85,"AEMH84263","BJP"
"Maharashtra",2014,10,12,4,7,0,2,"KADAMBANDE RAJWARDHAN RAGHUJIRAO","M","NCP",44852,55,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,28.83,"no",17473,11.23,3.85,"AEMH84264","NCP"
"Maharashtra",2014,10,12,4,7,0,3,"DEORE SUBHASH SHIVAJIRAO","M","SHS",27379,65,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,17.6,"no",13909,8.94,3.85,"AEMH84265","SHS"
"Maharashtra",2014,10,12,4,7,0,4,"KHAN MOHAMMAD SABIR MUHIBULLAH","M","INC",13470,68,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,8.66,"yes",9695,6.23,3.85,"AEMH84266","INC"
"Maharashtra",2014,10,12,4,7,0,5,"SHAIKH FIROZ BASHIR","M","AIMIM",3775,46,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,2.43,"yes",1952,1.25,3.85,"AEMH84267","AIMIM"
"Maharashtra",2014,10,12,4,7,0,6,"DAMODAR ANIL MAHADU","M","BSP",1823,44,"SC",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,1.17,"yes",132,0.08,3.85,"AEMH84268","BSP"
"Maharashtra",2014,10,12,4,7,0,7,"YUVAMITRA UTKARSHA VISHWAS. RAVANDALE (PATIL)","M","IND",1691,38,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,1.09,"yes",482,0.31,3.85,"AEMH84269","IND"
"Maharashtra",2014,10,12,4,7,0,8,"VARADE BHIKAN MADHUKAR","M","IND",1209,47,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.78,"yes",331,0.21,3.85,"AEMH84270","IND"
"Maharashtra",2014,10,12,4,7,0,9,"None of the Above","","NOTA",878,,"",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.56,"yes",93,0.06,3.85,"","NOTA"
"Maharashtra",2014,10,12,4,7,0,10,"BHAGWAN RAMBHAU KARANAKAL","M","IND",785,49,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.5,"yes",21,0.01,3.85,"AEMH84271","IND"
"Maharashtra",2014,10,12,4,7,0,11,"ADV. NITIN LAXMAN CHAUDHARI","M","MNS",764,41,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.49,"yes",432,0.28,3.85,"AEMH84272","MNs"
"Maharashtra",2014,10,12,4,7,0,12,"SHINDE SHRAVAN HILAL","M","CPI",332,71,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.21,"yes",15,0.01,3.85,"AEMH84273","CPI"
"Maharashtra",2014,10,12,4,7,0,13,"GANGWAR KALPANA JAMUNAPRASAD","F","SP",317,35,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.2,"yes",108,0.07,3.85,"AEMH84274","SP"
"Maharashtra",2014,10,12,4,7,0,14,"ASHFAK AHMAD SHAIKH SULEMAN","M","IND",209,33,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.13,"yes",40,0.03,3.85,"AEMH84275","IND"
"Maharashtra",2014,10,12,4,7,0,15,"DR. NANDKISHOR SUDHAKAR PIMPLISKAR","M","BMUP",169,26,"SC",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.11,"yes",13,0.01,3.85,"AEMH84276","BMUP"
"Maharashtra",2014,10,12,4,7,0,16,"DEORE MAHENDRA TRAMBAK","M","IND",156,38,"GEN",155589,286187,"DHULE CITY","GEN","DHULE","KHANDESH",15,54.37,0.1,"yes",0,0,3.85,"AEMH84277","IND"
"Maharashtra",2014,10,12,4,8,0,1,"JAYKUMAR JITENDRASINH RAWAL","M","BJP",92794,40,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,46.66,"no",42158,21.2,2.94,"AEMH84278","BJP"
"Maharashtra",2014,10,12,4,8,0,2,"BEDSE SANDEEP TRAYAMBAKRAO","M","NCP",50636,44,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,25.46,"no",2611,1.31,2.94,"AEMH84279","NCP"
"Maharashtra",2014,10,12,4,8,0,3,"SANER SHAMKANT RAGHUNATH","M","INC",48025,43,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,24.15,"no",45762,23.01,2.94,"AEMH84280","INC"
"Maharashtra",2014,10,12,4,8,0,4,"GIRASE RAJENDRASING RAMSING","M","SHS",2263,57,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,1.14,"yes",999,0.5,2.94,"AEMH84281","SHS"
"Maharashtra",2014,10,12,4,8,0,5,"None of the Above","","NOTA",1264,,"",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.64,"yes",264,0.13,2.94,"","NOTA"
"Maharashtra",2014,10,12,4,8,0,6,"SAINDANE ANAND JAYRAM","M","BSP",1000,36,"SC",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.5,"yes",116,0.06,2.94,"AEMH84282","BSP"
"Maharashtra",2014,10,12,4,8,0,7,"SANJAY BHAWAN RAJPUT","M","IND",884,38,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.44,"yes",188,0.09,2.94,"AEMH84283","IND"
"Maharashtra",2014,10,12,4,8,0,8,"SHARAD MAHADU SANER","M","IND",696,34,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.35,"yes",135,0.07,2.94,"AEMH84284","IND"
"Maharashtra",2014,10,12,4,8,0,9,"AHIRE SHEPA SITARAM","M","BMUP",561,50,"ST",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.28,"yes",150,0.08,2.94,"AEMH84285","BMUP"
"Maharashtra",2014,10,12,4,8,0,10,"PINJARI SALIM KASAM","M","IND",411,58,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.21,"yes",77,0.04,2.94,"AEMH84286","IND"
"Maharashtra",2014,10,12,4,8,0,11,"TELI EKABAL BAHADUR","M","BBM",334,49,"GEN",198868,307064,"SINDKHEDA","GEN","DHULE","KHANDESH",10,64.76,0.17,"yes",0,0,2.94,"AEMH84287","BBMS"
"Maharashtra",2014,10,12,4,9,0,1,"KASHIRAM VECHAN PAWARA","M","INC",98114,48,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,49.99,"no",25201,12.84,2.56,"AEMH84288","INC"
"Maharashtra",2014,10,12,4,9,0,2,"DR.JITENDRA YUVRAJ THAKUR","M","BJP",72913,39,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,37.15,"no",61504,31.34,2.56,"AEMH84289","BJP"
"Maharashtra",2014,10,12,4,9,0,3,"PADVI JAYVANT PRATAP","M","NCP",11409,33,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,5.81,"yes",5862,2.99,2.56,"AEMH84290","NCP"
"Maharashtra",2014,10,12,4,9,0,4,"GULABRAO GUMANSING MALCHE","M","CPI",5547,44,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,2.83,"yes",1605,0.82,2.56,"AEMH84291","CPI"
"Maharashtra",2014,10,12,4,9,0,5,"PAWARA RANJITSINH BHARATSINH","M","SHS",3942,52,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,2.01,"yes",1624,0.83,2.56,"AEMH84292","SHS"
"Maharashtra",2014,10,12,4,9,0,6,"None of the Above","","NOTA",2318,,"",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,1.18,"yes",1195,0.61,2.56,"","NOTA"
"Maharashtra",2014,10,12,4,9,0,7,"BHIL LAKHU MAHARU","M","BSP",1123,45,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,0.57,"yes",230,0.12,2.56,"AEMH84293","BSP"
"Maharashtra",2014,10,12,4,9,0,8,"DEVSING VANA SONAWANE","M","IND",893,45,"ST",196259,295736,"SHIRPUR","ST","DHULE","KHANDESH",7,66.36,0.46,"yes",0,0,2.56,"AEMH84294","IND"
"Maharashtra",2014,10,12,4,10,0,1,"SONAWANE CHANDRAKANT BALIRAM","M","SHS",54176,53,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,28.86,"no",11935,6.36,5.26,"AEMH84295","SHS"
"Maharashtra",2014,10,12,4,10,0,2,"PATIL MADHURI KISHOR","F","NCP",42241,37,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,22.5,"no",11682,6.22,5.26,"AEMH84296","NCP"
"Maharashtra",2014,10,12,4,10,0,3,"JAGDISHCHANDRA RAMESH VALVI","M","BJP",30559,51,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,16.28,"yes",6053,3.22,5.26,"AEMH84297","BJP"
"Maharashtra",2014,10,12,4,10,0,4,"DR. BARELA CHANDRAKANT JAMSING","M","IND",24506,31,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,13.05,"yes",5970,3.18,5.26,"AEMH84298","IND"
"Maharashtra",2014,10,12,4,10,0,5,"ITBAR A. TADAVI","M","MNS",18536,60,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,9.87,"yes",8256,4.4,5.26,"AEMH84299","MNs"
"Maharashtra",2014,10,12,4,10,0,6,"BHADALE DNYANESHWAR RAYSING","M","INC",10280,39,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,5.48,"yes",7395,3.94,5.26,"AEMH84300","INC"
"Maharashtra",2014,10,12,4,10,0,7,"None of the Above","","NOTA",2885,,"",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,1.54,"yes",590,0.31,5.26,"","NOTA"
"Maharashtra",2014,10,12,4,10,0,8,"DILIP ANANDSING MAHALE","M","IND",2295,35,"ST",187721,278782,"CHOPDA","ST","JALGAON","KHANDESH",9,67.34,1.22,"yes",1107,0.59,5.26,"AEMH84301","IND"
